epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,23478.7,1.23812,1.7437,1.05696,1.52607,0.53017,0.49065,0.53599,0.34866,0.52221,0.48062,0.52308,0.30375,1.33152,0.51647,0.62859,1.71485,0.00505,0.00505,0.00505
52,23927.2,1.23263,1.74337,1.06222,1.51841,0.5339,0.51019,0.53575,0.35241,0.53212,0.50277,0.52744,0.30736,1.32847,0.51281,0.62662,1.71333,0.004951,0.004951,0.004951
53,24374.6,1.23014,1.74993,1.04138,1.51395,0.53247,0.52105,0.54225,0.35641,0.52165,0.50773,0.5269,0.31269,1.32755,0.5113,0.62513,1.71185,0.004852,0.004852,0.004852
54,24824.9,1.23003,1.74092,1.04224,1.51423,0.51199,0.5306,0.54471,0.35741,0.50588,0.52327,0.53429,0.31301,1.33236,0.51235,0.62179,1.71648,0.004753,0.004753,0.004753
55,25271.6,1.22603,1.73139,1.04107,1.51006,0.50368,0.53084,0.54001,0.35349,0.49433,0.51937,0.52517,0.31023,1.33432,0.51606,0.61829,1.71693,0.004654,0.004654,0.004654
56,25719.3,1.22556,1.72793,1.03005,1.50887,0.53736,0.51157,0.54373,0.35428,0.52829,0.50111,0.53131,0.31297,1.33504,0.51497,0.61568,1.71628,0.004555,0.004555,0.004555
57,26164.8,1.21591,1.71729,1.01978,1.50022,0.54248,0.51103,0.5541,0.36124,0.53086,0.49968,0.54031,0.31849,1.33469,0.51414,0.6126,1.71615,0.004456,0.004456,0.004456
58,26615.4,1.21802,1.7183,1.01911,1.50282,0.52977,0.5657,0.56413,0.36879,0.52964,0.54359,0.55319,0.3246,1.33714,0.51672,0.60926,1.71746,0.004357,0.004357,0.004357
59,27062.8,1.20496,1.70541,1.00056,1.49479,0.5592,0.54443,0.56586,0.36638,0.55034,0.5352,0.5534,0.32474,1.33766,0.51718,0.60423,1.71863,0.004258,0.004258,0.004258
60,27528,1.20549,1.71386,1.00915,1.49431,0.53491,0.57069,0.56793,0.37012,0.52585,0.55925,0.55327,0.32712,1.33665,0.51666,0.60247,1.71854,0.004159,0.004159,0.004159
61,27976.7,1.20729,1.71482,1.01245,1.49649,0.54171,0.56266,0.56869,0.37036,0.53214,0.55244,0.55583,0.32834,1.33554,0.51732,0.60103,1.71779,0.00406,0.00406,0.00406
62,28425.1,1.19919,1.69636,1.00023,1.48837,0.53821,0.56394,0.56635,0.37024,0.52982,0.55579,0.55574,0.32938,1.33466,0.51773,0.59887,1.71782,0.003961,0.003961,0.003961
63,28874.5,1.19628,1.68921,0.9905,1.48869,0.56093,0.55546,0.57114,0.37314,0.55527,0.54726,0.56051,0.33149,1.33336,0.51841,0.59798,1.71778,0.003862,0.003862,0.003862
64,29316.8,1.19834,1.69164,0.98776,1.48401,0.53365,0.57301,0.57605,0.37612,0.52569,0.56097,0.56408,0.33396,1.33251,0.51766,0.59704,1.71724,0.003763,0.003763,0.003763
65,29756.7,1.20125,1.70415,0.98276,1.48789,0.53998,0.5711,0.57763,0.37774,0.53442,0.56259,0.56771,0.33482,1.33241,0.51749,0.59552,1.71743,0.003664,0.003664,0.003664
66,30196.6,1.18582,1.67799,0.96584,1.48003,0.54933,0.55965,0.57682,0.37874,0.55013,0.54459,0.56583,0.33382,1.33188,0.51657,0.59413,1.71734,0.003565,0.003565,0.003565
67,30644.9,1.18591,1.6728,0.97233,1.47801,0.54824,0.56137,0.57769,0.38,0.5464,0.55309,0.56888,0.33562,1.33125,0.51655,0.59306,1.71704,0.003466,0.003466,0.003466
68,31092.8,1.18381,1.68349,0.96417,1.47777,0.54937,0.55699,0.58197,0.38124,0.54367,0.54689,0.56956,0.33625,1.33047,0.51501,0.59202,1.71669,0.003367,0.003367,0.003367
69,31539.5,1.17562,1.65963,0.95125,1.46613,0.5334,0.57979,0.58207,0.38251,0.53902,0.54414,0.56948,0.33694,1.33051,0.51497,0.5907,1.71623,0.003268,0.003268,0.003268
70,31998,1.17658,1.65867,0.94591,1.46815,0.53242,0.57611,0.58348,0.38382,0.52437,0.56076,0.57081,0.33822,1.3307,0.51451,0.5899,1.71642,0.003169,0.003169,0.003169
71,32447.5,1.17148,1.66092,0.93746,1.46316,0.50985,0.59682,0.58548,0.3851,0.49924,0.58264,0.57236,0.33851,1.33134,0.51522,0.58793,1.71704,0.00307,0.00307,0.00307
72,32892.7,1.16573,1.64303,0.93159,1.46138,0.50772,0.59513,0.58707,0.38572,0.49929,0.5779,0.57448,0.33948,1.33189,0.51505,0.58734,1.71738,0.002971,0.002971,0.002971
73,33337.9,1.16817,1.65801,0.94246,1.46544,0.50535,0.61829,0.5896,0.38654,0.49383,0.60732,0.5759,0.34098,1.33185,0.51454,0.58617,1.71707,0.002872,0.002872,0.002872
