epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,4603.91,1.77513,2.93585,5.54336,1.54489,0,0.54526,0.57009,0.5782,0.35393,0.54742,0.57105,0.5818,0.37243,2.00577,1.07369,5.72568,1.63503,0,0.000229827,7.6609e-05,0.000229827,7.6609e-05,0.000229827,7.6609e-05,0.000229827,7.6609e-05
60,4679.77,1.7573,2.87895,5.53515,1.53699,0,0.62712,0.52111,0.58083,0.3487,0.63019,0.52237,0.5828,0.36884,2.04164,1.093,5.80501,1.65423,0,0.000206515,6.88382e-05,0.000206515,6.88382e-05,0.000206515,6.88382e-05,0.000206515,6.88382e-05
61,4755.61,1.77992,2.94253,5.56768,1.55046,0,0.59463,0.52014,0.57658,0.34959,0.5658,0.54489,0.5791,0.36483,2.02898,1.11347,5.80113,1.65138,0,0.000184403,6.14675e-05,0.000184403,6.14675e-05,0.000184403,6.14675e-05,0.000184403,6.14675e-05
62,4831.31,1.78324,3.00442,5.53832,1.55258,0,0.55716,0.54836,0.57409,0.35173,0.5619,0.55154,0.57678,0.36854,1.99898,1.07099,5.87992,1.63172,0,0.00016353,5.45099e-05,0.00016353,5.45099e-05,0.00016353,5.45099e-05,0.00016353,5.45099e-05
63,4907.19,1.76903,2.97009,5.61811,1.5463,0,0.54586,0.571,0.58082,0.35528,0.54579,0.56992,0.58095,0.37296,2.00185,1.09702,5.7801,1.63424,0,0.000143933,4.79777e-05,0.000143933,4.79777e-05,0.000143933,4.79777e-05,0.000143933,4.79777e-05
64,4985.41,1.81835,3.01954,5.65605,1.56267,0,0.60446,0.53726,0.58422,0.35972,0.60155,0.53954,0.58634,0.37636,1.98853,1.10016,5.6681,1.63291,0,0.000125647,4.18822e-05,0.000125647,4.18822e-05,0.000125647,4.18822e-05,0.000125647,4.18822e-05
65,5063.71,1.75917,2.92611,5.43862,1.53482,0,0.57697,0.54295,0.57829,0.35548,0.56815,0.56824,0.5825,0.37369,1.99537,1.06156,5.71197,1.63338,0,0.000108702,3.62341e-05,0.000108702,3.62341e-05,0.000108702,3.62341e-05,0.000108702,3.62341e-05
66,5156.43,1.65648,3.09751,4.79006,1.54307,0,0.59727,0.55022,0.58077,0.3695,0.60184,0.55096,0.58316,0.38128,1.86242,0.85351,5.58643,1.55876,0,9.31304e-05,3.10435e-05,9.31304e-05,3.10435e-05,9.31304e-05,3.10435e-05,9.31304e-05,3.10435e-05
67,5231.02,1.65192,3.02919,4.65889,1.54665,0,0.57752,0.56292,0.57818,0.36426,0.57982,0.56363,0.58021,0.3748,1.89171,0.87891,5.66324,1.56906,0,7.89578e-05,2.63193e-05,7.89578e-05,2.63193e-05,7.89578e-05,2.63193e-05,7.89578e-05,2.63193e-05
68,5305.43,1.63081,3.02445,4.49439,1.54104,0,0.59495,0.55913,0.58047,0.36609,0.59613,0.55892,0.58123,0.37799,1.86777,0.89397,5.60932,1.55716,0,6.62094e-05,2.20698e-05,6.62094e-05,2.20698e-05,6.62094e-05,2.20698e-05,6.62094e-05,2.20698e-05
69,5381.34,1.65492,2.92341,4.47451,1.55033,0,0.59649,0.54734,0.57566,0.36055,0.59942,0.5486,0.57864,0.37265,1.88364,0.88745,5.62791,1.56786,0,5.49078e-05,1.83026e-05,5.49078e-05,1.83026e-05,5.49078e-05,1.83026e-05,5.49078e-05,1.83026e-05
70,5457.18,1.62945,2.93977,4.34766,1.53522,0,0.60912,0.54905,0.57752,0.36601,0.61292,0.55124,0.58179,0.37426,1.87561,0.8865,5.62535,1.56269,0,4.50726e-05,1.50242e-05,4.50726e-05,1.50242e-05,4.50726e-05,1.50242e-05,4.50726e-05,1.50242e-05
71,5533.23,1.65038,2.98676,4.30276,1.54357,0,0.59618,0.55714,0.57539,0.36457,0.59835,0.55785,0.57812,0.3749,1.87944,0.87131,5.59812,1.566,0,3.67211e-05,1.22404e-05,3.67211e-05,1.22404e-05,3.67211e-05,1.22404e-05,3.67211e-05,1.22404e-05
72,5609.24,1.62856,3.05302,4.29658,1.547,0,0.60835,0.54033,0.57848,0.36483,0.61051,0.54104,0.58028,0.37632,1.87193,0.86929,5.61683,1.55961,0,2.9868e-05,9.95599e-06,2.9868e-05,9.95599e-06,2.9868e-05,9.95599e-06,2.9868e-05,9.95599e-06
73,5685.3,1.63696,3.01185,4.43641,1.54903,0,0.59136,0.55141,0.57435,0.36261,0.59513,0.5536,0.57754,0.37314,1.89067,0.88558,5.6885,1.56945,0,2.45253e-05,8.1751e-06,2.45253e-05,8.1751e-06,2.45253e-05,8.1751e-06,2.45253e-05,8.1751e-06
74,5761.33,1.63131,2.96503,4.30401,1.54421,0,0.59458,0.55116,0.57615,0.36313,0.59867,0.5529,0.57954,0.3751,1.88922,0.88898,5.63834,1.57197,0,2.07024e-05,6.90079e-06,2.07024e-05,6.90079e-06,2.07024e-05,6.90079e-06,2.07024e-05,6.90079e-06
75,5837.42,1.62747,2.94255,4.31953,1.5447,0,0.59893,0.53937,0.57916,0.36562,0.60256,0.54156,0.58315,0.37736,1.8778,0.87469,5.64014,1.56309,0,1.84059e-05,6.13531e-06,1.84059e-05,6.13531e-06,1.84059e-05,6.13531e-06,1.84059e-05,6.13531e-06
