epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,4940.53,1.90084,3.07544,9.96574,1.69478,0,0.4348,0.43013,0.43434,0.24922,0.44188,0.4345,0.44118,0.26864,2.13755,1.09544,7.97824,1.8579,0,0.000150482,5.01607e-05,0.000150482,5.01607e-05,0.000150482,5.01607e-05,0.000150482,5.01607e-05
60,5024.41,1.89478,3.06467,9.99136,1.69805,0,0.41772,0.44677,0.43574,0.24967,0.4225,0.45062,0.4415,0.26969,2.11841,1.10402,7.9138,1.8443,0,0.000135218,4.50726e-05,0.000135218,4.50726e-05,0.000135218,4.50726e-05,0.000135218,4.50726e-05
61,5108.38,1.90811,3.07417,9.94895,1.70027,0,0.39994,0.46436,0.43576,0.24744,0.40507,0.46473,0.43976,0.26834,2.14684,1.09958,7.95742,1.8627,0,0.00012074,4.02466e-05,0.00012074,4.02466e-05,0.00012074,4.02466e-05,0.00012074,4.02466e-05
62,5191.96,1.8748,3.08607,9.94198,1.68796,0,0.43094,0.44926,0.43801,0.25179,0.4343,0.45235,0.4434,0.27237,2.14373,1.0957,7.94524,1.85394,0,0.000107073,3.5691e-05,0.000107073,3.5691e-05,0.000107073,3.5691e-05,0.000107073,3.5691e-05
63,5275.7,1.88805,3.09233,9.96015,1.68884,0,0.41786,0.44864,0.43849,0.25355,0.41817,0.45242,0.44236,0.2713,2.12312,1.07458,7.92178,1.84618,0,9.42419e-05,3.1414e-05,9.42419e-05,3.1414e-05,9.42419e-05,3.1414e-05,9.42419e-05,3.1414e-05
64,5359.52,1.90045,3.04511,9.99212,1.69439,0,0.38049,0.4714,0.42582,0.24422,0.39453,0.48268,0.43628,0.26397,2.12906,1.08657,7.96027,1.84823,0,8.22686e-05,2.74229e-05,8.22686e-05,2.74229e-05,8.22686e-05,2.74229e-05,8.22686e-05,2.74229e-05
65,5443.25,1.8805,3.04013,9.95171,1.68385,0,0.41538,0.44701,0.4286,0.24503,0.41904,0.44948,0.43724,0.26507,2.15878,1.12484,7.96021,1.86973,0,7.11742e-05,2.37247e-05,7.11742e-05,2.37247e-05,7.11742e-05,2.37247e-05,7.11742e-05,2.37247e-05
66,5533.84,1.8053,3.18999,10.6433,1.73165,0,0.36642,0.49879,0.43042,0.25683,0.36703,0.50028,0.4329,0.26851,2.03307,0.83765,8.02793,1.75533,0,6.09782e-05,2.03261e-05,6.09782e-05,2.03261e-05,6.09782e-05,2.03261e-05,6.09782e-05,2.03261e-05
67,5615.57,1.76826,3.13478,10.3528,1.71405,0,0.42103,0.45288,0.43823,0.25942,0.42093,0.4574,0.44265,0.27266,2.04155,0.84008,7.93569,1.77031,0,5.16985e-05,1.72328e-05,5.16985e-05,1.72328e-05,5.16985e-05,1.72328e-05,5.16985e-05,1.72328e-05
68,5700.35,1.76964,3.12492,10.3439,1.72282,0,0.41104,0.45352,0.43766,0.26059,0.40985,0.46273,0.44243,0.27265,2.01741,0.8541,7.91857,1.76033,0,4.33514e-05,1.44505e-05,4.33514e-05,1.44505e-05,4.33514e-05,1.44505e-05,4.33514e-05,1.44505e-05
69,5784.5,1.74529,3.12509,10.2711,1.72197,0,0.42295,0.45013,0.43661,0.26385,0.42511,0.45164,0.43922,0.27287,2.00557,0.84533,7.90949,1.75252,0,3.59515e-05,1.19838e-05,3.59515e-05,1.19838e-05,3.59515e-05,1.19838e-05,3.59515e-05,1.19838e-05
70,5866.24,1.75924,3.11267,10.2687,1.72073,0,0.429,0.45152,0.43797,0.26548,0.43094,0.45304,0.44217,0.27555,1.99428,0.84654,7.84139,1.74423,0,2.95118e-05,9.83726e-06,2.95118e-05,9.83726e-06,2.95118e-05,9.83726e-06,2.95118e-05,9.83726e-06
71,5947.46,1.75528,3.08303,10.0733,1.72142,0,0.42832,0.45809,0.4358,0.26322,0.42878,0.46145,0.4395,0.27304,2.00655,0.84775,7.87736,1.75442,0,2.40436e-05,8.01452e-06,2.40436e-05,8.01452e-06,2.40436e-05,8.01452e-06,2.40436e-05,8.01452e-06
72,6028.62,1.75403,3.07097,10.1623,1.72749,0,0.42475,0.45157,0.43741,0.2638,0.41286,0.46039,0.44058,0.27434,2.00071,0.83811,7.8663,1.75467,0,1.95564e-05,6.51881e-06,1.95564e-05,6.51881e-06,1.95564e-05,6.51881e-06,1.95564e-05,6.51881e-06
73,6109.95,1.74771,3.10826,10.1866,1.72015,0,0.45125,0.4436,0.44161,0.26675,0.45294,0.44552,0.444,0.2773,1.99418,0.84787,7.81279,1.74958,0,1.60582e-05,5.35274e-06,1.60582e-05,5.35274e-06,1.60582e-05,5.35274e-06,1.60582e-05,5.35274e-06
74,6191.03,1.74924,3.07489,10.1517,1.72041,0,0.43655,0.44711,0.44287,0.26705,0.43833,0.44657,0.44474,0.27863,1.98769,0.84511,7.80924,1.74465,0,1.35551e-05,4.51837e-06,1.35551e-05,4.51837e-06,1.35551e-05,4.51837e-06,1.35551e-05,4.51837e-06
75,6272.16,1.75068,3.12108,10.1792,1.71802,0,0.41875,0.4621,0.44079,0.26924,0.42026,0.46313,0.44264,0.27801,1.96371,0.83093,7.80206,1.72977,0,1.20515e-05,4.01717e-06,1.20515e-05,4.01717e-06,1.20515e-05,4.01717e-06,1.20515e-05,4.01717e-06
